element,baseline,mass_min,smooth_min,peak_min,maneuverability
1,0.19073415689462184,0.11130061258384523,0.18978008586628395,0.13166900089028866,0.2008357093005039
2,0.18940337545124825,0.11220567376133656,0.18768712443490676,0.1334109213233587,0.1645174823540705
3,0.18991767345075952,0.11521112111018857,0.18798718958966779,0.13721108407486265,0.17620929399202115
4,0.1874513542955201,0.11874002766698455,0.1845796271287473,0.14256868148086235,0.19799900481307597
5,0.18664647252650296,0.12486078509492042,0.18660757029484495,0.1497103445452432,0.17330147744032517
6,0.19387757885150825,0.13763231121312505,0.1830808758246482,0.15827767931215303,0.18635029309708492
7,0.20356262971628947,0.15700722977330966,0.1855020068622917,0.16688239399369237,0.21550872756092157
8,0.19913884303470306,0.17481722409378062,0.18280265593414502,0.17501541479107025,0.19405958048552333
9,0.20627466149349416,0.2135108486956838,0.1839452167425098,0.18266323894106046,0.22328794237302105
10,0.21282736540524153,0.28016681502940377,0.18276060114605963,0.18976437798997817,0.21127727205257735
11,0.006458526118157657,0.00731040286483855,0.012059772399056451,0.013771906494160123,0.006225127685603156
12,0.007913549338030982,0.008268290603064542,0.009976043434902607,0.011647119797526776,0.008059507217245016
13,0.008017835913815701,0.007835100263438834,0.007803513794333666,0.008945189750551691,0.007130071335085938
14,0.006639914814042889,0.006419865361826587,0.005779521446733389,0.006726460609788342,0.00697029073299821
15,0.004719864140411263,0.004820740313743731,0.0050158973337763695,0.004919038890797764,0.004702827004777552
16,0.007273791198239663,0.0068293962336643,0.006542518683322667,0.006267387492070628,0.0063322685459437774
17,0.008312808934799151,0.007990873636813757,0.008325434182242962,0.007206446557036318,0.009547063424087397
18,0.008118507503288167,0.00829755967394687,0.008515701412093395,0.007581932551220162,0.008536000654978974
19,0.006582280847593128,0.007089129917435724,0.006493627131896307,0.0069317830905393715,0.007046376989992193
20,0.004199770745857872,0.004024824603462685,0.004132933105771893,0.00460078479878948,0.003295545188855127
