step,ds,sigma1,sigma2,sigma3,sigma4,condition,target_error_pct,wmin,wmax
0,0.08,0.9703448514505041,0.47585492918153927,0.20013767301023028,0.08776409009603348,11.056285667506272,1.179898712067029e-06,0.0018539260944047478,0.5081454244673844
1,0.08,0.9626888260279811,0.4707758859859046,0.19971763835825476,0.08692788917930057,11.0745680715001,2.0045751725206173e-07,0.0017809346821646007,0.5085118752306766
2,0.08,0.9668922268090571,0.4764192426321313,0.20013156287509642,0.08739546432959018,11.063414265558043,1.973132846000425e-06,0.0018092903452196457,0.5093412936020736
3,0.08,0.960870563727723,0.47137024232069763,0.20098843315901876,0.08672020480939407,11.080123321199023,3.784067947876224e-07,0.001784958992486929,0.5095925040877471
4,0.08,0.9668874832078846,0.4766132306506867,0.20047268265351084,0.08717277344817205,11.0916223605383,6.650812234276771e-07,0.001803596169465369,0.510349574386453
5,0.08,0.9612141940399305,0.47217217927014704,0.20145200995403456,0.08674349478897561,11.081109844355648,6.479230263423119e-07,0.001784541993456628,0.5111737236873106
6,0.08,0.9642733655247241,0.4755762790713165,0.199997768200539,0.08742800682940081,11.029341746361904,5.780510070607647e-07,0.0017957519133122272,0.5119799311286296
7,0.08,0.9626105441847006,0.4737036082907251,0.20213718406302053,0.08696076274009397,11.069481382790139,6.132729102326095e-07,0.0017905330927476728,0.5119381272639939
8,0.08,0.9630382222965694,0.47426934386203795,0.199913114102186,0.08752499343163692,11.003008221289031,1.6775849598360537e-06,0.0017920877112950686,0.5129850324048948
9,0.08,0.9635223094481595,0.4743358644024204,0.20228037874332014,0.08690966330615402,11.086480752479606,1.8685951008734492e-06,0.001792917553734347,0.5135492786581187
10,0.08,0.9631409857726853,0.47415258263400883,0.19987652319918037,0.08743429978300958,11.015596718484213,6.527842710823961e-07,0.0017879047487869282,0.5142966178283394
11,0.08,0.9646166511230796,0.4749278314379757,0.20233879050801035,0.08681388869990103,11.111317158681539,1.8222347630825197e-06,0.0017934151825165466,0.5141392305682637
12,0.08,0.9633383413303968,0.4741827544489495,0.19991134611250577,0.0873348310378216,11.030402531072733,1.9460868028176037e-06,0.0017851639275905302,0.5141607507283271
13,0.08,0.9638679341808291,0.47485910591313774,0.20244558813077507,0.08672399250310807,11.114201576297186,1.1245767650436278e-06,0.0017964033853378855,0.5148103112237071
14,0.08,0.9637291484738241,0.47452798467600277,0.2001235226550918,0.08724904378563716,11.045727341627003,8.570997689361093e-07,0.0017904633292964065,0.5151044164169523
15,0.08,0.9644042527907309,0.47494268303631604,0.20243001355506254,0.08662849843320278,11.13264422486049,4.404454467810126e-07,0.0017948481006512052,0.5148805880812677
16,0.08,0.9635248111039286,0.4745966746472134,0.200130351242085,0.08717659814290148,11.052562632972911,1.6197962970920798e-07,0.0017891508537280346,0.515359592743758
17,0.08,0.9643994331744306,0.475090469012055,0.20243559058642752,0.08654088297208212,11.143859411343694,5.774494660215623e-07,0.0017947844235613585,0.5152730416452405
18,0.08,0.9638129143504864,0.4745850939010481,0.20012920490339725,0.08705678293612863,11.071083514050958,7.014114733472354e-07,0.0017897359004902052,0.5159569286188778
19,0.08,0.9646513589532786,0.4751340078395508,0.20261238960122852,0.08645825665744548,11.15742320337668,7.874045304667732e-07,0.0017962740093322405,0.5161334398293778
20,0.08,0.9643139520284703,0.4747273095179314,0.2000681537378895,0.0869812253071193,11.086460884215004,1.71850025321163e-06,0.0017870453716629178,0.5165127609782647
21,0.08,0.9647785500791305,0.4750234453522237,0.20253434113440769,0.08636266005270013,11.171246340610681,6.926529572126583e-07,0.0017938686638687908,0.5168755165575776
22,0.08,0.9636787185599541,0.47453101168891987,0.20016811755533861,0.08687183598864243,11.09310868813622,4.941141495962142e-07,0.001789257357787545,0.5173874591542975
23,0.08,0.9638405492925368,0.4749439892578038,0.2026130650230341,0.08627199758019553,11.172113505272476,1.1909069064230948e-06,0.0017938649984425817,0.5174113798975467
24,0.08,0.9632727870506806,0.4745093259591881,0.20021107818680348,0.08678703947244039,11.09927003969956,1.0551386431245646e-06,0.0017872161517207932,0.5178065768977046
25,0.08,0.9641839771409306,0.47531782352351026,0.20264120043069825,0.08617946489356051,11.188094267373158,2.9174167526235806e-07,0.001793986069330412,0.5182958413730346
26,0.08,0.9637435154525513,0.4748002258870944,0.20036434265615571,0.08671376483138958,11.11407764760878,3.3707521218673264e-07,0.001787314481019203,0.5192856416024246
27,0.08,0.9644023733618843,0.47522975810251894,0.20271158937261663,0.08607326407975047,11.204435938066963,1.58094753954785e-06,0.0017951014702028323,0.519452247570423
28,0.08,0.9636008473224251,0.47466190848972845,0.20035632875987278,0.08661711017231603,11.124832557971954,1.8039441052053462e-07,0.0017868998874217444,0.5199741138323549
29,0.08,0.9641282688040589,0.4751921457282917,0.2028509066313237,0.0859741855559602,11.214159954751908,3.780564084010507e-07,0.0017962855259059088,0.5201783166964468
30,0.08,0.9629527645984864,0.4745453379132617,0.20032450144292835,0.08652618124662556,11.129033440800795,1.257493364992257e-06,0.0017883472317959614,0.5206705595873093
31,0.08,0.9647066500224312,0.47530757863401324,0.20291415375147862,0.08589901007275412,11.230707422650749,6.017426112947533e-07,0.0017950585456231536,0.5210794354620291
32,0.08,0.9643153583831789,0.4750266030109207,0.20043325242449525,0.08643881141988613,11.156046023110035,1.3710141355538497e-06,0.001787409282321939,0.5218259887645821
33,0.08,0.9645627369478927,0.47547386140694103,0.2029662062717132,0.08581208750423211,11.240406392634629,8.594825628982505e-07,0.0017968284147938853,0.521530194123689
