step,Hmax_scale,sigma1,sigma2,sigma3,sigma4,condition,tangent_lambda,constraint_residual_inf,wmin,wmax
0,0.88,0.8841588259007143,0.49189690517585943,0.20380450653223353,0.06558932842000116,13.480223798588158,-0.07199833681509145,6.838710177106594e-09,0.0017465451041390287,0.532578067710986
1,0.8775724128788861,0.8885326276936674,0.49167782349630035,0.202764350772123,0.06097190601816599,14.572820266254062,-0.0667777400064994,9.541856198614244e-10,0.0017451542810033,0.532863418611631
2,0.8757596269866724,0.8914365654368772,0.49125150696202846,0.2020150318534148,0.057372233608607555,15.537769917034135,-0.06274509345395278,9.946974350354448e-10,0.0017443525575950923,0.5330895311211526
3,0.874389415817208,0.8932907929927437,0.4908568520985827,0.20145346749535797,0.05456503068561734,16.371122342797545,-0.05962140910325835,4.815203790093689e-10,0.001743900408721523,0.5332700763146165
4,0.8729872515250439,0.8950944676295675,0.4903050818709497,0.20089995898108742,0.05158921345870605,17.350418965895553,-0.05632700236969554,4.147793219990983e-12,0.0017435693737240718,0.533463469364056
5,0.871561121911277,0.8966709250251593,0.48961584127432195,0.2003350676043912,0.04844941359196625,18.50736383678012,-0.05286872773561818,1.647066927154911e-10,0.0017433880029724537,0.5336706571285781
6,0.8701209428150021,0.8980246376588396,0.48874195957218425,0.1998182057605833,0.04513930831421677,19.894514807529823,-0.04923994639884702,7.345892780252507e-10,0.001743386190617151,0.533893155144444
7,0.8686789488113038,0.8988765119337135,0.4876893757350475,0.1993012469862067,0.04164856862775326,21.582410669804656,-0.04542944186776174,1.1786078710151752e-08,0.001743591556972042,0.5341336302898723
8,0.8676078119111394,0.8993313034670107,0.4867764281758065,0.19895087394645247,0.038921779460021726,23.106119913935423,-0.04246272815615997,2.7613544787901155e-10,0.0017439118752453295,0.5343270817297421
9,0.8668024759567444,0.8993372378847766,0.48601580230446156,0.19868401868503643,0.03677733827645666,24.45357059623032,-0.04013436525086727,1.4583645401347226e-10,0.0017442497494454929,0.5344828433392244
10,0.8659833591871233,0.8993638546383614,0.48515053473293257,0.19841510772047252,0.03448934873737708,26.076568203321724,-0.03765331237117656,2.5904280908960927e-09,0.001744674952479598,0.5346524983152933
11,0.8653653718039497,0.8991329218660149,0.4845110795986416,0.1982272096126757,0.03268755224212899,27.506890549827627,-0.035701706470409315,2.564886825565015e-08,0.001745058202628253,0.534789520008421
