step,Hmax_scale,ds,sigma1,sigma2,sigma3,sigma4,condition,tangent_lambda,constraint_residual_inf,wmin,wmax
0,0.861870742642807,0.012,0.8972656740938793,0.47952893164302923,0.19731845935371017,0.020758193256347705,43.224651732130006,-0.022778870944444602,1.7342820108297352e-08,0.0017482195504494205,0.5358409601625225
1,0.8616043164890557,0.009000000000000001,0.896989901598925,0.47911688658196394,0.19724672741467966,0.01971130587128478,45.50636611578588,-0.02162478647599798,3.7052729841924462e-09,0.0017485236320157397,0.5359539726489017
2,0.8614136563593652,0.006750000000000001,0.8967721596619853,0.4787927686352005,0.19720154637201415,0.01893678167480394,47.356101742207464,-0.020744986604490572,5.813929765149419e-09,0.0017487544977230185,0.536037990970685
3,0.8612758872175901,0.005062500000000001,0.8966825825637451,0.47852811878812246,0.19717393652073154,0.018363484415595942,48.82965358155017,-0.02007657646305355,2.0728441183576137e-10,0.0017489293173664703,0.5361005851441666
4,0.8611755318045634,0.0037968750000000008,0.8965034015502722,0.47834138362074613,0.19714986913502264,0.01794015732827432,49.97188068899214,-0.019571813411335376,1.0362511017758103e-08,0.0017490614088419175,0.5361472936292621
5,0.8611019505087482,0.0028476562500000004,0.8965837830397679,0.47819172186021147,0.1971367090749283,0.01762511879937475,50.8696589932531,-0.019189319226349866,5.270830896755004e-09,0.001749161049989566,0.5361821909913377
6,0.8610477182118973,0.0021357421875000003,0.896467940580947,0.47808901732996273,0.19712630506123446,0.017391320740388006,51.54685799676342,-0.018901351683331118,2.6187951772797997e-09,0.0017492361017890769,0.5362082884759576
7,0.8610075830154864,0.0016018066406250002,0.8964247219981366,0.4779763185828017,0.19714071497324748,0.01721675662501387,52.06699156656136,-0.018683987730717527,1.3311435375974704e-08,0.0017492925791584971,0.5362278189890939
8,0.8609777858408174,0.0015,0.8964682613258855,0.4778785396612633,0.197135236694421,0.01708765868537955,52.46290775300403,-0.018521400824646345,1.2635846449067845e-08,0.0017493350419359812,0.536242442909021
9,0.8609501196673519,0.0015,0.8963318335835844,0.4778826506032816,0.19710990493549935,0.01696754618549767,52.826249817412496,-0.018368895790336206,5.192246632780744e-11,0.0017493748925657543,0.5362561186961763
10,0.8609226833419372,0.0015,0.8963238329862788,0.4778109167703841,0.19709983594983613,0.016847265309913137,53.20292738898526,-0.01821517981340948,4.610946302080504e-09,0.0017494148222738128,0.536269776418638
11,0.8608954774502778,0.0015,0.896225029546735,0.47778174482533436,0.19710079093881303,0.016728548372961376,53.57458457036942,-0.01806203778406282,4.315632295039083e-10,0.0017494548333013332,0.5362834160480056
12,0.8608685025695176,0.0015,0.896303034768363,0.47770596451369624,0.19708648643076757,0.01660945259278066,53.96343014687572,-0.01790755646888363,1.672417092302539e-09,0.0017494949272745628,0.536297037562049
13,0.8608417593135711,0.0015,0.8962362965273064,0.47765931989151966,0.1970944990625754,0.016491172199075546,54.346427634631524,-0.01775264753036959,1.3629131915999594e-08,0.001749535107663783,0.5363106408938421
14,0.8608152480822578,0.0015,0.8961713230338931,0.47760267767536446,0.19708001748408865,0.016374264449647787,54.73047817138253,-0.017597971183155342,3.297766054790838e-09,0.0017495753674609431,0.5363242261364222
15,0.860788969650303,0.0015,0.8962523582189326,0.4775383171956057,0.19708130558177914,0.016257533592144116,55.12843342067675,-0.017442205904311066,1.3926579875253194e-08,0.0017496157167573628,0.5363377931470578
16,0.8607629243710234,0.0015,0.8962166426234331,0.4774572663680033,0.19708166460523993,0.01614138167373895,55.52291995433844,-0.017285966600132912,6.237141156350958e-09,0.001749656146574687,0.5363513420240615
17,0.8607371129365181,0.0015,0.8961064846272312,0.47743363625949503,0.19706771415264132,0.01602669216344188,55.913377226482154,-0.017130141962916224,5.819742004694128e-09,0.0017496966630231718,0.5363648726804371
18,0.8607115360092663,0.0015,0.8960166623849775,0.47735077462777353,0.19707580862618584,0.01591285639852248,56.3077199935125,-0.016973990029951886,9.878575672971282e-09,0.0017497372709784232,0.5363783850358702
19,0.8606861938715534,0.0015,0.8960390894195048,0.4773212670861144,0.1970539092554314,0.01580069400069232,56.708843888771234,-0.01681772778599205,1.857088954246942e-08,0.001749777958490849,0.5363918792535637
20,0.8606610874682252,0.0015,0.8958849673098355,0.47725752840334956,0.19707021885524237,0.015687207970804896,57.10926819974252,-0.016659107522100966,3.0272295785812754e-10,0.001749818741699784,0.5364053550954543
21,0.8606362171843858,0.0015,0.8960489507972413,0.4771723937034552,0.19705098980772492,0.015576621870987907,57.52524252169008,-0.016502062786006556,8.152334363464089e-11,0.0017498596131418408,0.5364188126547501
22,0.8606115836410871,0.0015,0.8960606297353101,0.47709498630616975,0.19705961417929804,0.015466937262181095,57.9339409312992,-0.016344518624385393,1.3653596457837055e-08,0.00174990057475602,0.536432251893442
23,0.8605871873319282,0.0015,0.895883498904374,0.4770891550825171,0.19703904925557417,0.015358094274392189,58.33298603969075,-0.016186297415314688,2.724329650389539e-10,0.0017499416237596822,0.5364456728453441
24,0.8605630289863888,0.0015,0.8958385420620033,0.4770280889447077,0.1970323200072522,0.015249620917574093,58.74497122939061,-0.01602703046519865,1.5676260288636515e-10,0.001749982766543458,0.5364590754123041
25,0.8605391090141091,0.0015,0.8957626331591085,0.476955195484818,0.19703395301378454,0.015142745504819909,59.15457225864285,-0.015867844691054803,7.80265449205225e-09,0.0017500239966434504,0.5364724596780658
26,0.8605154282604073,0.0015,0.8957886440393199,0.47690180003283605,0.19702625384584146,0.015036583122174516,59.57394953101389,-0.015708080240782053,1.1509486690413249e-09,0.0017500653247565976,0.5364858254699003
27,0.8604919871764377,0.0016200000000000001,0.8957266733394701,0.4768532754812709,0.19701533189690718,0.01493197794943721,59.987141447207286,-0.015547859146360376,1.3985035352091037e-11,0.001750106745502058,0.5364991728662476
28,0.8604669406528722,0.0017496000000000002,0.8959086404205627,0.4767884622152124,0.19701241033678465,0.014821881647058792,60.44500028768912,-0.015376110567310062,3.358646693531998e-10,0.0017501515837465016,0.536513567378428
