element,branch_A_width_m,branch_B_width_m,relative_difference
1,0.1106608693786671,0.11066286288859205,1.801442533540899e-05
2,0.5373464081957551,0.5378117941572527,0.0008657069452273741
3,0.20887794616977193,0.20907519247363457,0.0009438680350762009
4,0.1975276574899542,0.19787308422170277,0.0017472234890265345
5,0.19171933023311521,0.19225563885225644,0.002793456148554218
6,0.32323447671168537,0.325481264445459,0.0069268790356957445
7,0.29683882300220543,0.299470118855903,0.008825277197750647
8,0.24353350995693793,0.24588598730362543,0.00961333726937757
9,0.22837194452007994,0.2310128880509151,0.011497739340042399
10,0.07062595342132762,0.07094894111378301,0.004562782031602281
11,0.015971454737458337,0.01546983636911367,-0.03190825508051845
12,0.010184223228115281,0.009774487470341117,-0.04105833928499731
13,0.00979993879038479,0.009881504849360708,0.008288625618011074
14,0.008168824962519335,0.008313197188646409,0.017518751619547204
15,0.004289797815084927,0.0043018887067872635,0.0028145560645295984
16,0.0057546221821417505,0.005700124294260855,-0.009515337243502302
17,0.007056147973618756,0.0070591554225591735,0.00042612600749786
18,0.00688696899136409,0.006904944776495201,0.002606713677836634
19,0.0051125034394462155,0.005128564645034302,0.003136627050146512
20,0.0017530942742316415,0.0017551949555289533,0.0011975530862688923
